crop,season,year,count
Bhindi(Okra/Ladysfinger),Zaid,2015,3132
Cotton (Kapas),Zaid,2015,5284
Tomato,Zaid,2015,3672
Chillies,Zaid,2015,4968
Maize (Makka),Zaid,2015,660
Pomegranate,Zaid,2015,4686
Turmeric,Zaid,2015,1450
Soybean (bhat),Zaid,2015,3106
Pigeon pea (red gram/arhar/tur),Zaid,2015,900
Brinjal,Zaid,2015,5629
Mango,Zaid,2015,1276
Onion,Zaid,2015,3217
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Zaid,2015,677
Watermelon,Zaid,2015,904
Mango,Kharif,2022,306
Pomegranate,Zaid,2012,30
Soybean (bhat),Zaid,2012,161
Mango,Zaid,2012,42
Chillies,Zaid,2012,35
Onion,Zaid,2012,56
Turmeric,Zaid,2012,21
Other Named Crops,Rabi,2012,23219
Cotton (Kapas),Rabi,2012,3668
Wheat,Rabi,2012,2178
Onion,Rabi,2012,2169
Groundnut (pea nut/mung phalli),Rabi,2012,641
Groundnut (pea nut/mung phalli),Zaid,2015,1716
Soybean (bhat),Rabi,2012,1059
Groundnut (pea nut/mung phalli),Zaid,2012,29
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Zaid,2023,60
Other Named Crops,Kharif,2016,22832
Cotton (Kapas),Kharif,2016,45994
Soybean (bhat),Kharif,2016,17865
Pomegranate,Kharif,2016,3867
Pigeon pea (red gram/arhar/tur),Kharif,2016,11247
Maize (Makka),Kharif,2016,2507
Turmeric,Kharif,2016,4011
Tomato,Kharif,2016,4365
Sorghum (Jowar/Great Millet),Kharif,2016,1167
Onion,Kharif,2016,4854
Sorghum (Jowar/Great Millet),Zaid,2015,325
Wheat,Zaid,2015,209
Cotton (Kapas),Kharif,2015,30146
Bhindi(Okra/Ladysfinger),Kharif,2015,2997
Other Named Crops,Kharif,2015,19023
Turmeric,Kharif,2015,2805
Chillies,Kharif,2015,4852
Soybean (bhat),Kharif,2015,11183
Sugarcane (Noble Cane),Kharif,2015,4691
Sorghum (Jowar/Great Millet),Kharif,2015,1229
Onion,Kharif,2015,8830
Pomegranate,Kharif,2015,4677
Mango,Kharif,2012,168
Watermelon,Rabi,2019,1165
Groundnut (pea nut/mung phalli),Rabi,2019,967
Pomegranate,Rabi,2019,1074
Groundnut (pea nut/mung phalli),Zaid,2019,200
Other Named Crops,Zaid,2019,5162
Soybean (bhat),Zaid,2019,717
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Zaid,2019,363
Cotton (Kapas),Zaid,2019,1369
Onion,Zaid,2019,725
Pigeon pea (red gram/arhar/tur),Zaid,2019,374
Mango,Zaid,2019,389
Bhindi(Okra/Ladysfinger),Zaid,2019,652
Brinjal,Zaid,2019,683
Chillies,Zaid,2019,657
Turmeric,Rabi,2014,1016
Sugarcane (Noble Cane),Zaid,2019,1063
Tomato,Zaid,2019,448
Turmeric,Zaid,2019,772
Pomegranate,Zaid,2019,410
Sorghum (Jowar/Great Millet),Zaid,2019,77
Watermelon,Zaid,2019,275
Brinjal,Kharif,2015,4365
Pigeon pea (red gram/arhar/tur),Kharif,2015,5731
Maize (Makka),Kharif,2015,1183
Tomato,Kharif,2015,3860
Maize (Makka),Zaid,2019,207
Maize (Makka),Rabi,2014,2303
Sorghum (Jowar/Great Millet),Rabi,2014,2027
Wheat,Zaid,2019,60
Groundnut (pea nut/mung phalli),Kharif,2015,475
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,2015,1825
Mango,Kharif,2015,549
Chillies,Kharif,2011,58
Groundnut (pea nut/mung phalli),Kharif,2011,108
Wheat,Kharif,2015,510
Other Named Crops,Zaid,2013,23303
Turmeric,Zaid,2013,1113
Mango,Zaid,2013,2027
Pomegranate,Zaid,2013,4708
Onion,Zaid,2013,2311
Brinjal,Zaid,2013,3224
Soybean (bhat),Zaid,2013,5302
Tomato,Zaid,2013,2206
Watermelon,Zaid,2013,733
Cotton (Kapas),Zaid,2013,9528
Chillies,Zaid,2013,3039
Bhindi(Okra/Ladysfinger),Zaid,2013,1216
Wheat,Zaid,2013,307
Groundnut (pea nut/mung phalli),Zaid,2013,2571
Pigeon pea (red gram/arhar/tur),Zaid,2013,734
Sugarcane (Noble Cane),Zaid,2013,5136
